X,Y,Z
-34.89689252878491,-8.045204393766012,13.0
-34.89688067059769,-8.045233095168848,13.0
-34.89687770605088,-8.045243532042608,13.0
-34.896870294683865,-8.045263101180906,13.0
-34.896859177633345,-8.04529245488835,13.0
-34.89684806058282,-8.045321808595798,13.0
-34.8968369435323,-8.045351162303245,13.0
-34.896803592380735,-8.045400085148989,13.0
-34.89675570354771,-8.045436212788923,13.0
-34.89671465597655,-8.045458792563881,13.0
-34.89670576233613,-8.04547053404686,13.0
-34.89669983324252,-8.045478361702179,13.0
-34.89666614521064,-8.04551394195363,13.0
-34.89662571957238,-8.04555663825537,13.0
-34.89658578894193,-8.04559977023366,13.0
-34.89655584096909,-8.045634914808561,13.0
-34.89654767334014,-8.045644499692624,13.0
-34.896536783168195,-8.045658397774519,13.0
-34.896510291473334,-8.045689874941651,13.0
-34.89649231496611,-8.04571319136175,13.0
-34.89647433845888,-8.04573650778185,13.0
-34.89644784676402,-8.045774073125344,13.0
-34.89644073185168,-8.045785205790686,13.0
-34.89643738365765,-8.045791467914942,13.0
-34.897159337997444,-8.045126117212822,14.0
-34.897138411784695,-8.045146837476901,14.0
-34.89712969252938,-8.045165255489417,14.0
-34.89711225401876,-8.045202091514447,14.0
-34.89711144916443,-8.045207404402673,14.0
-34.89710004706132,-8.045243532042608,14.0
-34.89710004706132,-8.045269624227004,14.0
-34.89710004706132,-8.0452957164114,14.0
-34.89710004706132,-8.045321808595798,14.0
-34.89710597615494,-8.045353119217074,14.0
-34.89710784850029,-8.045367126600278,14.0
-34.89711486979535,-8.045400085148989,14.0
-34.89712376343577,-8.045431395770265,14.0
-34.89712969252938,-8.045452269517783,14.0
-34.8971371038964,-8.045478361702179,14.0
-34.89714155071661,-8.045494017012818,14.0
-34.897159337997444,-8.045530546070973,14.0
-34.897159337997444,-8.044966006081296,14.0
-34.89712376343577,-8.044961736451121,14.0
-34.897097766640705,-8.044954510923134,14.0
-34.89707040159327,-8.044949994968142,14.0
-34.89705063794789,-8.044947820619443,14.0
-34.896981465189086,-8.044930425829845,14.0
-34.896914762885956,-8.044949994968142,14.0
-34.89689252878491,-8.044956518014242,14.0
-34.89685695422324,-8.04497739176176,14.0
-34.89682582648177,-8.044989133244739,14.0
-34.896803592380735,-8.044998917813887,14.0
-34.896795858780365,-8.045001895726237,14.0
-34.896773946912674,-8.045008702383036,14.0
-34.89676801781906,-8.045040013004312,14.0
-34.89676406508998,-8.04505218935703,14.0
-34.896759124178644,-8.045086978936226,14.0
-34.89674699648717,-8.045115443137387,14.0
-34.896740066377745,-8.045142890759934,14.0
-34.89673244325739,-8.045165255489417,14.0
-34.89673082623186,-8.045179487589998,14.0
-34.89673082623186,-8.045229299942028,14.0
-34.89672947871058,-8.045243532042608,14.0
-34.89672511908293,-8.045252741048865,14.0
-34.89671465597655,-8.045269624227004,14.0
-34.89669489233118,-8.0453044138062,14.0
-34.89668501050849,-8.045321808595798,14.0
-34.896658060082984,-8.04535027279696,14.0
-34.89662571957238,-8.04538442983835,14.0
-34.896619366972075,-8.045394493966619,14.0
-34.89661682593196,-8.045400085148989,14.0
-34.896612037048655,-8.045412127695634,14.0
-34.896595051846795,-8.045451369787287,14.0
-34.896585293934116,-8.045478361702179,14.0
-34.896572357729866,-8.045509672323456,14.0
