X,Y,Z
-34.936388888869665,-8.037777777786799,14
-34.93611111109189,-8.037777777786799,15
-34.935833333314115,-8.037777777786799,14
-34.93555555553633,-8.037777777786799,13
-34.93527777775856,-8.037777777786799,13
-34.934999999980775,-8.037777777786799,12
-34.934722222203,-8.037777777786799,12
-34.934444444425225,-8.037777777786799,13
-34.93416666664744,-8.037777777786799,13
-34.93388888886967,-8.037777777786799,12
-34.93361111109189,-8.037777777786799,12
-34.93333333331411,-8.037777777786799,13
-34.933055555536335,-8.037777777786799,12
-34.93277777775855,-8.037777777786799,11
-34.93249999998078,-8.037777777786799,11
-34.932222222203,-8.037777777786799,12
-34.93194444442522,-8.037777777786799,12
-34.931666666647445,-8.037777777786799,11
-34.93138888886967,-8.037777777786799,10
-34.93111111109189,-8.037777777786799,10
-34.93083333331411,-8.037777777786799,10
-34.93055555553633,-8.037777777786799,9
-34.930277777758555,-8.037777777786799,8
-34.92999999998078,-8.037777777786799,8
-34.929722222203,-8.037777777786799,9
-34.92944444442522,-8.037777777786799,9
-34.92916666664745,-8.037777777786799,9
-34.928888888869665,-8.037777777786799,9
-34.92861111109189,-8.037777777786799,10
-34.92833333331411,-8.037777777786799,10
-34.92805555553633,-8.037777777786799,10
-34.92777777775856,-8.037777777786799,11
-34.927499999980775,-8.037777777786799,10
-34.927222222203,-8.037777777786799,7
-34.926944444425224,-8.037777777786799,6
-34.92666666664744,-8.037777777786799,6
-34.92638888886967,-8.037777777786799,7
-34.926111111091885,-8.037777777786799,8
-34.92583333331411,-8.037777777786799,9
-34.925555555536334,-8.037777777786799,11
-34.92527777775855,-8.037777777786799,12
-34.92499999998078,-8.037777777786799,13
-34.924722222203,-8.037777777786799,14
-34.92444444442522,-8.037777777786799,13
-34.924166666647444,-8.037777777786799,11
-34.92388888886966,-8.037777777786799,10
-34.92361111109189,-8.037777777786799,11
-34.92333333331411,-8.037777777786799,10
-34.92305555553633,-8.037777777786799,9
-34.922777777758554,-8.037777777786799,9
-34.92249999998078,-8.037777777786799,10
-34.922222222203,-8.037777777786799,11
-34.92194444442522,-8.037777777786799,11
-34.92166666664744,-8.037777777786799,9
-34.921388888869664,-8.037777777786799,7
-34.92111111109189,-8.037777777786799,9
-34.92083333331411,-8.037777777786799,11
-34.92055555553633,-8.037777777786799,12
-34.92027777775856,-8.037777777786799,14
-34.919999999980774,-8.037777777786799,12
-34.919722222203,-8.037777777786799,11
-34.91944444442522,-8.037777777786799,12
