X,Y,Z
-34.923539108846995,-8.043227892774803,6.0
-34.92368132479278,-8.043417820923956,6.0
-34.92369108848915,-8.043458740403246,6.0
-34.92376668534413,-8.043639403764637,6.0
-34.923608428553536,-8.043791815242352,6.0
-34.9234478097213,-8.04382645421456,6.0
-34.92326088263206,-8.043816779191289,6.0
-34.9231767654419,-8.043793720385823,6.0
-34.923014138874265,-8.043780493246864,6.0
-34.92291005787097,-8.043738166402196,6.0
-34.92289311445183,-8.043639403764637,6.0
-34.922854014253815,-8.043487461245313,6.0
-34.92283530553528,-8.043397588028341,6.0
-34.92278589106003,-8.043227892774803,6.0
-34.92287077661078,-8.043091856083949,6.0
-34.923014138874265,-8.043069619317174,6.0
-34.923213527769455,-8.043038692319707,6.0
-34.92329696768755,-8.04308475851747,6.0
-34.92336896047639,-8.042891201964938,6.0
-34.923434668180484,-8.042816381784968,6.0
-34.923428954467084,-8.042798490002802,6.0
-34.923361075551895,-8.042487172993102,6.0
-34.92332638188413,-8.042404870795135,6.0
-34.92336576388537,-8.042327017364627,6.0
-34.9234478097213,-8.042311948958721,6.0
-34.923502506945255,-8.04235296850813,6.0
-34.923564567257046,-8.042404870795135,6.0
-34.92364366107158,-8.042590714467963,6.0
-34.923571715677596,-8.042698807216444,6.0
-34.92368323103827,-8.042628262475331,6.0
-34.92388148056834,-8.042694452602797,6.0
-34.923930003180594,-8.042770338597295,6.0
-34.9239412972369,-8.042816381784968,6.0
-34.922508189552715,-8.041170337825635,6.0
-34.9222318306796,-8.041251026255015,6.0
-34.92214679718018,-8.041291370469704,6.0
-34.92626667022706,-8.041170337825635,7.0
-34.92609939718606,-8.041217367653045,7.0
-34.926049834803536,-8.041218750883262,7.0
-34.92601041018108,-8.04120774791562,7.0
-34.9257182041558,-8.04126716394089,7.0
-34.9256161639565,-8.04125475033637,7.0
-34.9255672996357,-8.041216705261109,7.0
-34.92554388548199,-8.041170337825635,7.0
-34.92397868265475,-8.042816381784968,7.0
-34.9239650023611,-8.042895635753382,7.0
-34.92388148056834,-8.043048974953136,7.0
-34.92373193889695,-8.04308599243348,7.0
-34.92365323275411,-8.043227892774803,7.0
-34.923748043384634,-8.043354511540905,7.0
-34.92379686186648,-8.043559108937352,7.0
-34.923830460468686,-8.043639403764637,7.0
-34.92364055231999,-8.043822297537895,7.0
-34.9234478097213,-8.043863864304544,7.0
-34.923239314121766,-8.043853072932434,7.0
-34.92321956190707,-8.043855988496126,7.0
-34.923014138874265,-8.043839280531126,7.0
-34.92286669078627,-8.04377931750118,7.0
-34.922842687609155,-8.043639403764637,7.0
-34.922791223952885,-8.043439417115371,7.0
-34.92278547606401,-8.043422425242724,7.0
-34.922728829106475,-8.043227892774803,7.0
-34.92283493604491,-8.043057846911235,7.0
-34.923014138874265,-8.043030050952767,7.0
-34.923207677929966,-8.043000031317622,7.0
-34.92336896047639,-8.042816381784968,7.0
-34.923334678195985,-8.042709031091968,7.0
-34.923299122573745,-8.042545960277364,7.0
-34.92323964771472,-8.042404870795135,7.0
-34.923307159716856,-8.042271407771405,7.0
-34.9234478097213,-8.042245576218425,7.0
-34.92354157639093,-8.042315895445983,7.0
-34.923647965496855,-8.042404870795135,7.0
-34.923715141065365,-8.042562710626852,7.0
-34.92388148056834,-8.042618246863938,7.0
-34.923960329813255,-8.042741561604998,7.0
-34.92397868265475,-8.042816381784968,7.0
-34.922628653676895,-8.041170337825635,7.0
-34.92261817853566,-8.041206121389969,7.0
-34.92258046802722,-8.041245158005605,7.0
-34.92245197296143,-8.041292267007808,7.0
-34.922316864179024,-8.041331714684393,7.0
-34.92214679718018,-8.041412403113773,7.0
-34.92652997038419,-8.041170337825635,7.0
-34.926527607770616,-8.041212186400873,7.0
-34.92648350565058,-8.041293791122586,7.0
-34.92634655696204,-8.04130028866453,7.0
-34.92622330314235,-8.04133494222157,7.0
-34.926049834803536,-8.04133978352733,7.0
-34.925911848624935,-8.041301273140583,7.0
-34.925781979280366,-8.041327680262924,7.0
-34.9256161639565,-8.04130750815558,7.0
-34.92553675943521,-8.041245684908281,7.0
-34.925498711435424,-8.041170337825635,7.0
-34.92390316411069,-8.043639403764637,7.0
-34.92389669708929,-8.043653842746735,7.0
-34.92388148056834,-8.043673696347122,7.0
-34.923686771208445,-8.043866154718218,7.0
-34.923651890119906,-8.043857262523959,7.0
-34.9234478097213,-8.04390127439453,7.0
-34.92328101324167,-8.043892641296841,7.0
-34.92316249995351,-8.043910134679,7.0
-34.923014138874265,-8.043898067815388,7.0
-34.922823323701564,-8.043820468600163,7.0
-34.92279226076647,-8.043639403764637,7.0
-34.92275069396718,-8.043477876086383,7.0
-34.922706626819085,-8.043347605062754,7.0
-34.92267176715291,-8.043227892774803,7.0
-34.922799095479036,-8.043023837738522,7.0
-34.923014138874265,-8.04299048258836,7.0
-34.923171837364094,-8.042966022144908,7.0
-34.923303252772286,-8.042816381784968,7.0
-34.92324040192489,-8.042619572181136,7.0
-34.923237169595595,-8.042604747561626,7.0
-34.923152913545316,-8.042404870795135,7.0
-34.92324855554834,-8.042215798178185,7.0
-34.9234478097213,-8.04217920347813,7.0
-34.92358064583661,-8.042278822383835,7.0
-34.92373136373667,-8.042404870795135,7.0
-34.923774548030714,-8.042506339258383,7.0
-34.92388148056834,-8.04254204112508,7.0
-34.923990656445916,-8.042712784612704,7.0
-34.924016068072596,-8.042816381784968,7.0
-34.92399712612755,-8.042926118048925,7.0
-34.92388148056834,-8.04313843386397,7.0
-34.923806709732645,-8.043156942604142,7.0
-34.92376735666122,-8.043227892774803,7.0
-34.92381476197649,-8.043291202157853,7.0
-34.92388148056834,-8.043570818599663,7.0
-34.923895247896816,-8.043626339923689,7.0
-34.92390316411069,-8.043639403764637,7.0
-34.92214679718018,-8.041699423383992,7.0
-34.92225257055751,-8.041892991271196,7.0
-34.92228231931988,-8.041993359805302,7.0
-34.92223906757317,-8.042080915335054,7.0
-34.92214679718018,-8.042164822717734,7.0
-34.92214679718018,-8.041533435757842,7.0
-34.922248837379485,-8.041485022700213,7.0
-34.92239562471537,-8.041406450688655,7.0
-34.92258046802722,-8.041338683230567,7.0
-34.92266531667121,-8.041250850845385,7.0
-34.922688885738985,-8.041170337825635,7.0
-34.92829046751324,-8.041170337825635,8.0
-34.92825031280518,-8.041200820121178,8.0
-34.92821818903874,-8.041221776699365,8.0
-34.928180478530294,-8.041206121389969,8.0
-34.92815623606059,-8.041170337825635,8.0
-34.92789293590346,-8.041993359805302,8.0
-34.92783629978537,-8.042042495445878,8.0
-34.92778451819169,-8.042071742850984,8.0
-34.927734237513775,-8.042041071224412,8.0
-34.92766887263249,-8.041993359805302,8.0
-34.927690751522064,-8.04190438445615,8.0
-34.92778451819169,-8.041843719445362,8.0
-34.927875817317386,-8.041906725912705,8.0
-34.92789293590346,-8.041993359805302,8.0
-34.926564818934395,-8.041993359805302,8.0
-34.92654545862872,-8.042052147089564,8.0
-34.92648350565058,-8.042404870795135,8.0
-34.92641845502352,-8.042055086453777,8.0
-34.92632087908294,-8.041993359805302,8.0
-34.92635959969428,-8.041875785236778,8.0
-34.92648350565058,-8.041746453211402,8.0
-34.9265538306528,-8.041926628293437,8.0
-34.926564818934395,-8.041993359805302,8.0
-34.92545353738886,-8.041170337825635,8.0
-34.92550621923471,-8.041274664555452,8.0
-34.9256161639565,-8.04136026597479,8.0
-34.925823143224406,-8.041385445843048,8.0
-34.92586913861727,-8.041410385903038,8.0
-34.926049834803536,-8.0414608161714,8.0
-34.926181250211734,-8.04145714851552,8.0
-34.92640090167971,-8.041503465769786,8.0
-34.92648350565058,-8.041499546617501,8.0
-34.92660111130401,-8.041281934026268,8.0
-34.926607411606874,-8.041170337825635,8.0
-34.924011581822455,-8.043639403764637,8.0
-34.92397277969403,-8.043726037657233,8.0
-34.92388148056834,-8.043845159259552,8.0
-34.923775275462944,-8.043950136552878,8.0
-34.92360087002026,-8.043905675581588,8.0
-34.9234478097213,-8.043938684484514,8.0
-34.92332271236158,-8.043932209661248,8.0
-34.92310543799996,-8.043964280861873,8.0
-34.923014138874265,-8.043956855099651,8.0
-34.92284067053544,-8.043886310358536,8.0
-34.92274726450685,-8.04405091475447,8.0
-34.92265790924991,-8.044124398859797,8.0
-34.92258046802722,-8.044171947398539,8.0
-34.922503026804534,-8.044124398859797,8.0
-34.922413671547595,-8.04405091475447,8.0
-34.92250696449383,-8.043981167129074,8.0
-34.92258046802722,-8.043952935947367,8.0
-34.922773210625905,-8.043822297537895,8.0
-34.922741833923794,-8.043639403764637,8.0
-34.92271016398148,-8.043516335057395,8.0
-34.92262777757417,-8.043272784882785,8.0
-34.92261470519936,-8.043227892774803,8.0
-34.922664404320194,-8.043148245486448,8.0
-34.92258046802722,-8.043051530922016,8.0
-34.922521665200506,-8.042872179885286,8.0
-34.92248916890153,-8.042816381784968,8.0
-34.92248916890153,-8.042729747892373,8.0
-34.92258046802722,-8.042689763018867,8.0
-34.92266508672908,-8.042736086957685,8.0
-34.92266307199809,-8.042816381784968,8.0
-34.92284465831335,-8.0429772021718,8.0
-34.923014138874265,-8.042950914223953,8.0
-34.92313599679822,-8.042932012972194,8.0
-34.92323754506819,-8.042816381784968,8.0
-34.92318559013937,-8.042653691393639,8.0
-34.92310087304367,-8.042487172993102,8.0
-34.92306617937591,-8.042404870795135,8.0
-34.92311421676204,-8.04230990672056,8.0
-34.923014138874265,-8.04222850894235,8.0
-34.92289849331505,-8.042103096069258,8.0
-34.92284067053544,-8.041993359805302,8.0
-34.922938717857384,-8.041921792676636,8.0
-34.923014138874265,-8.04192477464033,8.0
-34.923063003195054,-8.041946992369828,8.0
-34.923147576057964,-8.041993359805302,8.0
-34.923291688216366,-8.042141503761641,8.0
-34.9234478097213,-8.042112830737834,8.0
-34.92361971528229,-8.042241749321688,8.0
-34.92381476197649,-8.042404870795135,8.0
-34.92383395499606,-8.042449967889912,8.0
-34.92388148056834,-8.042465835386222,8.0
-34.92402098307858,-8.042684007620407,8.0
-34.924053453490444,-8.042816381784968,8.0
-34.924029249894,-8.042956600344468,8.0
-34.92388148056834,-8.043227892774803,8.0
-34.92396408453921,-8.043561020718954,8.0
-34.924011581822455,-8.043639403764637,8.0
-34.92274911780107,-8.041170337825635,8.0
-34.92271245480676,-8.041295580300801,8.0
-34.92258046802722,-8.041432208455529,8.0
-34.92246671829685,-8.04147391150666,8.0
-34.922265071047555,-8.041581848815468,8.0
-34.92234695295574,-8.041771776964623,8.0
-34.92235834393484,-8.041792622737091,8.0
-34.922417841459584,-8.041993359805302,8.0
-34.922331337966156,-8.042168470864805,8.0
-34.92214679718018,-8.042336285630164,8.0
-34.93038654327393,-8.041252640023602,8.0
-34.930297585151465,-8.04125475033637,8.0
-34.93005372611225,-8.041266038055829,8.0
-34.929952872426895,-8.041268316632738,8.0
-34.92988059395239,-8.041238922990608,8.0
-34.929832408302715,-8.041170337825635,8.0
-34.92784647116984,-8.041170337825635,8.0
-34.927957986530515,-8.04133494222157,8.0
-34.92797726079038,-8.04139895504221,8.0
-34.92802544644005,-8.04139895504221,8.0
-34.92821818903874,-8.04147897106801,8.0
-34.92841093163742,-8.041353231598894,8.0
-34.928651859885775,-8.041170337825635,8.0
-34.92802845804316,-8.041993359805302,8.0
-34.92790102677747,-8.0421039149966,8.0
-34.92778451819169,-8.042169721658087,8.0
-34.92767138666638,-8.042100710498302,8.0
-34.92752431568347,-8.041993359805302,8.0
-34.92757354318503,-8.041793165269707,8.0
-34.92778451819169,-8.041656668995438,8.0
-34.9279899412245,-8.04179843354696,8.0
-34.92802845804316,-8.041993359805302,8.0
-34.926049834803536,-8.041993359805302,8.0
-34.926310037311765,-8.042157964201236,8.0
-34.92632862320521,-8.042257902584481,8.0
-34.926400107410764,-8.042404870795135,8.0
-34.92642718476135,-8.042458313780829,8.0
-34.92648350565058,-8.04249060225135,8.0
-34.9265398265398,-8.042458313780829,8.0
-34.92659192336234,-8.042404870795135,8.0
-34.92662806259959,-8.04226770046519,8.0
-34.92664871359231,-8.042150125896667,8.0
-34.926700341074095,-8.041993359805302,8.0
-34.92667103898984,-8.041815409106995,8.0
-34.92663656594953,-8.04172708798835,8.0
-34.92660177951795,-8.041581848815468,8.0
-34.926620454339115,-8.041451897976573,8.0
-34.92667461483741,-8.041351681651664,8.0
-34.92668485282956,-8.041170337825635,8.0
-34.926049834803536,-8.041581848815468,8.0
-34.926049834803536,-8.041993359805302,8.0
-34.926049834803536,-8.041581848815468,8.0
-34.925773862446334,-8.041432208455529,8.0
-34.9256161639565,-8.041413023793998,8.0
-34.92547567903422,-8.041303644202623,8.0
-34.92540836334229,-8.041170337825635,8.0
-34.92509575894005,-8.042404870795135,8.0
-34.924850862461724,-8.04250169691039,8.0
-34.92474882226242,-8.042514607059092,8.0
-34.9247070226627,-8.042444534504998,8.0
-34.92469780216277,-8.042404870795135,8.0
-34.92471268302516,-8.04237057821265,8.0
-34.92474882226242,-8.042322568597168,8.0
-34.92481962566602,-8.042337685327407,8.0
-34.92509575894005,-8.042404870795135,8.0
-34.92427178433068,-8.048989046632471,8.0
-34.92423630217046,-8.048914226452501,8.0
-34.92431515141538,-8.048577535642638,8.0
-34.92397785186768,-8.048486088756007,8.0
-34.92397785186768,-8.048257471539433,8.0
-34.92393568942422,-8.048166024652804,8.0
-34.923901651305414,-8.048146884606766,8.0
-34.92388148056834,-8.048145449103313,8.0
-34.9238573877435,-8.048143162931147,8.0
-34.923809202093835,-8.048166024652804,8.0
-34.92382727171246,-8.048217463526534,8.0
-34.92382727171246,-8.048526096768908,8.0
-34.92383811348364,-8.048577535642638,8.0
-34.92385979702599,-8.04859811119213,8.0
-34.92388148056834,-8.048618686741621,8.0
-34.923960329813255,-8.048652355822608,8.0
-34.92431515141538,-8.048577535642638,8.0
-34.92438187000723,-8.04892573724942,8.0
-34.924358518500085,-8.048989046632471,8.0
-34.92392484765305,-8.046108469703636,8.0
-34.92390945933266,-8.046135018799754,8.0
-34.92388148056834,-8.046154193146952,8.0
-34.92377306285658,-8.046211347451095,8.0
-34.923628505907566,-8.046279932616068,8.0
-34.9234478097213,-8.046402406124946,8.0
-34.923342036343975,-8.046208838237742,8.0
-34.92329292727593,-8.046108469703636,8.0
-34.92332734559712,-8.045994161095349,8.0
-34.9234478097213,-8.045879852487063,8.0
-34.923608428553536,-8.04595605822592,8.0
-34.923802631323426,-8.046033649523666,8.0
-34.92388148056834,-8.046067318604653,8.0
-34.923910391958145,-8.046081035637648,8.0
-34.92392484765305,-8.046108469703636,8.0
-34.92411999953421,-8.043639403764637,8.0
-34.924048862298775,-8.04379823256773,8.0
